Trial,Column,verdict,overall,correctness,completeness,category,ground_truth,predicted,reason
NCT00104715_Gravis_GETUG_EU'15,Control Arm - N,Correct,1.0,1.0,1.0,numeric_tolerance,193 (ADT alone),193,Primary number match (contextual/semantic match); rule-based.
NCT00104715_Gravis_GETUG_EU'15,Docetaxel administration - N (%) | Control,Wrong,0.0,0.0,0.0,numeric_tolerance,0 (0%),152,Column requires both count and percentage (N (%)). Ground truth has both but prediction has only count; scored as wrong/incomplete.
NCT00104715_Gravis_GETUG_EU'15,Docetaxel administration - N (%) | Treatment,Wrong,0.0,0.0,0.0,numeric_tolerance,192 (100%),,The prediction is empty while the ground truth has a value.
NCT00104715_Gravis_GETUG_EU'15,Median Follow-Up Duration (mo),Correct,1.0,1.0,1.0,numeric_tolerance,83.9 months,83.9,Primary number match (contextual/semantic match); rule-based.
NCT00104715_Gravis_GETUG_EU'15,Gleason score - N (%) | ≤ 7 | Control,Correct,1.0,1.0,1.0,numeric_tolerance,78 (41%),78 (41%),N and percentage match (rule-based).
NCT00104715_Gravis_GETUG_EU'15,Gleason score - N (%) | ≥ 8 | Treatment,Correct,1.0,1.0,1.0,numeric_tolerance,103 (55%),103 (55%),N and percentage match (rule-based).
NCT00104715_Gravis_GETUG_EU'15,Gleason score - N (%) | ≥ 8 | Control,Correct,1.0,1.0,1.0,numeric_tolerance,113 (59%),113 (59%),N and percentage match (rule-based).
NCT00104715_Gravis_GETUG_EU'15,Gleason score - N (%) | ≤ 7 | Treatment,Correct,1.0,1.0,1.0,numeric_tolerance,84 (45%),84 (44%),N and percentage match (rule-based).
NCT00104715_Gravis_GETUG_EU'15,Median Age (years) | Treatment,Correct,1.0,1.0,1.0,numeric_tolerance,63.0,63.0,Primary number match (contextual/semantic match); rule-based.
NCT00104715_Gravis_GETUG_EU'15,Median Age (years) | Control,Correct,1.0,1.0,1.0,numeric_tolerance,64.0,64.0,Primary number match (contextual/semantic match); rule-based.
NCT00104715_Gravis_GETUG_EU'15,Adverse Events - N (%) | Treatment-related Grade 3 or Higher | Treatment,Correct,1.0,1.0,1.0,numeric_tolerance,,,Both empty or not reported; rule-based match.
NCT00104715_Gravis_GETUG_EU'15,Adverse Events - N (%) | Treatment-related Grade 3 or Higher | Control,Correct,1.0,1.0,1.0,numeric_tolerance,,,Both empty or not reported; rule-based match.
NCT00104715_Gravis_GETUG_EU'15,Adverse Events - N (%) | All-Cause Grade 3 or Higher | Control,Correct,1.0,1.0,1.0,numeric_tolerance,,,Both empty or not reported; rule-based match.
NCT00104715_Gravis_GETUG_EU'15,Adverse Events - N (%) | Treatment-related Grade 5 | Control,Correct,1.0,1.0,1.0,numeric_tolerance,,,Both empty or not reported; rule-based match.
NCT00104715_Gravis_GETUG_EU'15,Adverse Events - N (%) | Treatment-related Grade 5 | Treatment,Correct,1.0,1.0,1.0,numeric_tolerance,"4 deaths (2 neutropenia-related, HVD subgroup)",4,"The column definition requires both count and percentage, but GT only has the count. Pred also only has the count. Since the primary number matches, and the column definition requires both count and percentage, but GT doesn't have it, we will evaluate based on the count."
NCT00104715_Gravis_GETUG_EU'15,Adverse Events - N (%) | All-Cause Grade 3 or Higher | Treatment,Correct,1.0,1.0,1.0,numeric_tolerance,,,Both empty or not reported; rule-based match.
NCT00104715_Gravis_GETUG_EU'15,Median On-Treatment Duration (mo) | Control,Wrong,0.0,0.0,0.0,numeric_tolerance,Median number of docetaxel cycles = 8 (median exposure proxy),,"The GT contains the value ""8"" which represents the median number of docetaxel cycles. The predicted value is empty. Since one is empty and the other is not, this is considered an error."
NCT00104715_Gravis_GETUG_EU'15,Median On-Treatment Duration (mo) | Treatment,Wrong,0.0,0.0,0.0,numeric_tolerance,,5.5,"The GT is empty, and the predicted value is ""5.5"". Since one is empty and the other is not, this is considered an error."
NCT00104715_Gravis_GETUG_EU'15,Median OS (mo) | High volume | Treatment,Correct,1.0,1.0,1.0,numeric_tolerance,39.8 mo,39.8,Primary number match (contextual/semantic match); rule-based.
NCT00104715_Gravis_GETUG_EU'15,Median OS (mo) | Overall | Treatment,Correct,1.0,1.0,1.0,numeric_tolerance,62.1 mo,62.1,Primary number match (contextual/semantic match); rule-based.
NCT00104715_Gravis_GETUG_EU'15,Median OS (mo) | Low volume | Treatment,Correct,1.0,1.0,1.0,numeric_tolerance,Not reached,NR,"The GT is ""Not reached"" and the Pred is ""NR"". These are equivalent."
NCT00104715_Gravis_GETUG_EU'15,Median OS (mo) | High volume | Control,Correct,1.0,1.0,1.0,numeric_tolerance,35.1 mo,35.1,Primary number match (contextual/semantic match); rule-based.
NCT00104715_Gravis_GETUG_EU'15,Median OS (mo) | Overall | Control,Correct,1.0,1.0,1.0,numeric_tolerance,48.6 mo,48.6,Primary number match (contextual/semantic match); rule-based.
NCT00104715_Gravis_GETUG_EU'15,Median OS (mo) | Low volume | Control,Correct,1.0,1.0,1.0,numeric_tolerance,83.4 mo,83.4,Primary number match (contextual/semantic match); rule-based.
NCT00104715_Gravis_GETUG_EU'15,Median PFS (mo) | Overall | Control,Correct,1.0,1.0,1.0,numeric_tolerance,bPFS 12.9 mo; rPFS 15.3 mo,12.9,Primary number match (contextual/semantic match); rule-based.
NCT00104715_Gravis_GETUG_EU'15,Median PFS (mo) | Overall | Treatment,Correct,1.0,1.0,1.0,numeric_tolerance,bPFS 22.9 mo; rPFS 22.9 mo,22.9,Primary number match (contextual/semantic match); rule-based.
NCT00104715_Gravis_GETUG_EU'15,Median PFS (mo) | Low volume | Control,Correct,1.0,1.0,1.0,numeric_tolerance,bPFS 22.4 mo; rPFS 23.2 mo,22.4,Primary number match (contextual/semantic match); rule-based.
NCT00104715_Gravis_GETUG_EU'15,Median PFS (mo) | High volume | Control,Correct,1.0,1.0,1.0,numeric_tolerance,bPFS 9.2 mo; rPFS 9.7 mo,9.2,Primary number match (contextual/semantic match); rule-based.
NCT00104715_Gravis_GETUG_EU'15,Median PFS (mo) | Low volume | Treatment,Correct,1.0,1.0,1.0,numeric_tolerance,bPFS 40.9 mo; rPFS 41.0 mo,40.9,Primary number match (contextual/semantic match); rule-based.
NCT00104715_Gravis_GETUG_EU'15,Median PFS (mo) | High volume | Treatment,Correct,1.0,1.0,1.0,numeric_tolerance,bPFS 15.2 mo; rPFS 15.9 mo,15.2,Primary number match (contextual/semantic match); rule-based.
NCT00104715_Gravis_GETUG_EU'15,Metastases - N (%) | Lungs | Control,Correct,1.0,1.0,1.0,numeric_tolerance,,,Both empty or not reported; rule-based match.
NCT00104715_Gravis_GETUG_EU'15,Metastases - N (%) | Bone | Treatment,Partial,0.5,0.5,0.5,numeric_tolerance,155 (81%),155,Column requires both count and percentage (N (%)). Ground truth has both but prediction has only count; scored as wrong/incomplete.
NCT00104715_Gravis_GETUG_EU'15,Metastases - N (%) | Nodal | Control,Correct,1.0,1.0,1.0,numeric_tolerance,,,Both empty or not reported; rule-based match.
NCT00104715_Gravis_GETUG_EU'15,Metastases - N (%) | Nodal | Treatment,Correct,1.0,1.0,1.0,numeric_tolerance,,,Both empty or not reported; rule-based match.
