Trial,Column,verdict,overall,correctness,completeness,category,ground_truth,predicted,reason
NCT00104715_Gravis_GETUG_EU'15,Docetaxel administration - N (%) | Control,Wrong,0.0,0.0,0.0,numeric_tolerance,0 (0%),152,Column requires both count and percentage (N (%)). Ground truth has both but prediction has only count; scored as wrong/incomplete.
NCT00104715_Gravis_GETUG_EU'15,Docetaxel administration - N (%) | Treatment,Wrong,0.0,0.0,0.0,numeric_tolerance,192 (100%),,The prediction is empty while the ground truth has a value.
NCT00104715_Gravis_GETUG_EU'15,Median On-Treatment Duration (mo) | Control,Wrong,0.0,0.0,0.0,numeric_tolerance,Median number of docetaxel cycles = 8 (median exposure proxy),,"The GT contains the value ""8"" which represents the median number of docetaxel cycles. The predicted value is empty. Since one is empty and the other is not, this is considered an error."
NCT00104715_Gravis_GETUG_EU'15,Median On-Treatment Duration (mo) | Treatment,Wrong,0.0,0.0,0.0,numeric_tolerance,,5.5,"The GT is empty, and the predicted value is ""5.5"". Since one is empty and the other is not, this is considered an error."
NCT00104715_Gravis_GETUG_EU'15,Metastases - N (%) | Bone | Treatment,Partial,0.5,0.5,0.5,numeric_tolerance,155 (81%),155,Column requires both count and percentage (N (%)). Ground truth has both but prediction has only count; scored as wrong/incomplete.
NCT00104715_Gravis_GETUG_EU'15,Metastases - N (%) | Bone | Control,Partial,0.5,0.5,0.5,numeric_tolerance,156 (81%),156,Column requires both count and percentage (N (%)). Ground truth has both but prediction has only count; scored as wrong/incomplete.
NCT00104715_Gravis_GETUG_EU'15,Trial Name,Wrong,0.0,0.0,0.0,exact_match,GETUG-AFU15 – ADT plus docetaxel versus ADT alone in metastatic non-castrate prostate cancer,Randomized Phase 3 GETUG-AFU15 Trial,Not an exact match.
NCT00104715_Gravis_GETUG_EU'15,Author,Wrong,0.0,0.0,0.0,exact_match,Gravis G. et al.,"Gwenaelle Gravis, Jean-Marie Boher, Florence Joly, Michel Soulie´, Laurence Albiges, Franck Priou, Igor Latorzeff, Remy Delva, Ivan Krakowski, Brigitte Laguerre, Fre´de´ric Rolland, Christine The´odor",Not an exact match.
NCT00104715_Gravis_GETUG_EU'15,Quality of Life reported,Wrong,0.0,0.0,0.0,exact_match,No,,"Pred is empty, which is equivalent to ""Not reported"". GT is ""No"". These are not equivalent."
NCT00104715_Gravis_GETUG_EU'15,TTPSA (mo) | Control,Wrong,0.0,0.0,0.0,numeric_tolerance,,12.9,"GT is empty, while Pred has a value. This indicates a mismatch, with the prediction providing information not present in the ground truth."
NCT00104715_Gravis_GETUG_EU'15,TTPSA (mo) | Treatment,Wrong,0.0,0.0,0.0,numeric_tolerance,,22.9,"GT is empty, while Pred has a value. This indicates a mismatch, with the prediction providing information not present in the ground truth."
NCT00104715_Gravis_GETUG_EU'15,Region - N (%) | Europe | Treatment,Partial,0.5,0.5,0.5,numeric_tolerance,192 (100%),192,Column requires both count and percentage (N (%)). Ground truth has both but prediction has only count; scored as wrong/incomplete.
NCT00104715_Gravis_GETUG_EU'15,Treatment Class,Partial,0.5,0.5,0.5,structured_text,Chemotherapy (taxane),Androgen Deprivation Therapy and Chemotherapy,"The prediction includes ""Chemotherapy"" which is present in the GT, but also includes ""Androgen Deprivation Therapy"" which is not specified as the treatment *class* in the GT."
