Trial,Column,verdict,overall,correctness,completeness,category,ground_truth,predicted,reason
NCT00104715_Gravis_GETUG_EU'15,Control Arm - N,Correct,1.0,1.0,1.0,numeric_tolerance,193 (ADT alone),193,Primary number match (contextual/semantic match); rule-based.
NCT00104715_Gravis_GETUG_EU'15,Median Age (years) | Treatment,Correct,1.0,1.0,1.0,numeric_tolerance,63.0,63.0,Primary number match (contextual/semantic match); rule-based.
NCT00104715_Gravis_GETUG_EU'15,Median Age (years) | Control,Correct,1.0,1.0,1.0,numeric_tolerance,64.0,64.0,Primary number match (contextual/semantic match); rule-based.
NCT00104715_Gravis_GETUG_EU'15,Median Follow-Up Duration (mo),Correct,1.0,1.0,1.0,numeric_tolerance,83.9 months,83.9,Primary number match (contextual/semantic match); rule-based.
NCT00104715_Gravis_GETUG_EU'15,Docetaxel administration - N (%) | Control,Wrong,0.0,0.0,0.0,numeric_tolerance,0 (0%),152 (79%),Parsing failed: Expecting value: line 1 column 1 (char 0)
NCT00104715_Gravis_GETUG_EU'15,Docetaxel administration - N (%) | Treatment,Wrong,0.0,0.0,0.0,numeric_tolerance,192 (100%),192 (100%),Parsing failed: Expecting value: line 1 column 1 (char 0)
NCT00104715_Gravis_GETUG_EU'15,Adverse Events - N (%) | All-Cause Grade 3 or Higher | Control,Correct,1.0,1.0,1.0,numeric_tolerance,,,Both empty or not reported; rule-based match.
NCT00104715_Gravis_GETUG_EU'15,Adverse Events - N (%) | Treatment-related Grade 5 | Control,Correct,1.0,1.0,1.0,numeric_tolerance,,,Both empty or not reported; rule-based match.
NCT00104715_Gravis_GETUG_EU'15,Adverse Events - N (%) | All-Cause Grade 3 or Higher | Treatment,Correct,1.0,1.0,1.0,numeric_tolerance,,,Both empty or not reported; rule-based match.
NCT00104715_Gravis_GETUG_EU'15,Adverse Events - N (%) | Treatment-related Grade 5 | Treatment,Partial,0.5,0.5,0.5,numeric_tolerance,"4 deaths (2 neutropenia-related, HVD subgroup)",4/192,"GT provides a count of 4. Pred provides ""4/192"". The column definition requires both count and percentage. GT only provides the count. Pred provides a count and a denominator, which can be used to calculate the percentage. However, the GT does not provide the total N, so we cannot assess the correct"
NCT00104715_Gravis_GETUG_EU'15,Adverse Events - N (%) | Treatment-related Grade 3 or Higher | Treatment,Correct,1.0,1.0,1.0,numeric_tolerance,,,Both empty or not reported; rule-based match.
NCT00104715_Gravis_GETUG_EU'15,Adverse Events - N (%) | Treatment-related Grade 3 or Higher | Control,Correct,1.0,1.0,1.0,numeric_tolerance,,,Both empty or not reported; rule-based match.
NCT00104715_Gravis_GETUG_EU'15,Median On-Treatment Duration (mo) | Control,Wrong,0.0,0.0,0.0,numeric_tolerance,Median number of docetaxel cycles = 8 (median exposure proxy),,"The GT provides a value of 8, even though it's described as ""median number of docetaxel cycles"" and a ""median exposure proxy"". The definition asks for the median duration in months. Since the prediction is empty while the GT has a value, it's an incorrect and incomplete extraction."
NCT00104715_Gravis_GETUG_EU'15,Median On-Treatment Duration (mo) | Treatment,Correct,1.0,1.0,1.0,numeric_tolerance,,,Both empty or not reported; rule-based match.
NCT00104715_Gravis_GETUG_EU'15,Year,Correct,1.0,1.0,1.0,exact_match,2016,2016,Exact match.
NCT00104715_Gravis_GETUG_EU'15,Reporting by prognostic groups - Y/N | High volume,Correct,1.0,1.0,1.0,exact_match,Yes (CHAARTED definition applied retrospectively),Y,"""Yes"" is equivalent to ""Y""."
NCT00104715_Gravis_GETUG_EU'15,Reporting by prognostic groups - Y/N | Synchronous,Correct,1.0,1.0,1.0,exact_match,Yes (metastases at diagnosis vs after local therapy),Y,"""Yes"" is equivalent to ""Y""."
NCT00104715_Gravis_GETUG_EU'15,Original/Follow Up,Correct,1.0,1.0,1.0,exact_match,Follow-up / long-term OS analysis (median follow-up ~7 years),Follow Up,"""Follow-up"" is equivalent to ""Follow Up""."
NCT00104715_Gravis_GETUG_EU'15,Trial Name,Wrong,0.0,0.0,0.0,exact_match,GETUG-AFU15 – ADT plus docetaxel versus ADT alone in metastatic non-castrate prostate cancer,GETUG-AFU15 Trial,Not an exact match.
NCT00104715_Gravis_GETUG_EU'15,Quality of Life reported,Wrong,0.0,0.0,0.0,exact_match,No,,"Empty value in Pred is equivalent to ""Not reported"", which is different from ""No""."
