Trial,Column,verdict,overall,correctness,completeness,category,ground_truth,predicted,reason
NCT00104715_Gravis_GETUG_EU'15,Docetaxel administration - N (%) | Control,Wrong,0.0,0.0,0.0,numeric_tolerance,0 (0%),152 (79%),Parsing failed: Expecting value: line 1 column 1 (char 0)
NCT00104715_Gravis_GETUG_EU'15,Docetaxel administration - N (%) | Treatment,Wrong,0.0,0.0,0.0,numeric_tolerance,192 (100%),192 (100%),Parsing failed: Expecting value: line 1 column 1 (char 0)
NCT00104715_Gravis_GETUG_EU'15,Adverse Events - N (%) | Treatment-related Grade 5 | Treatment,Partial,0.5,0.5,0.5,numeric_tolerance,"4 deaths (2 neutropenia-related, HVD subgroup)",4/192,"GT provides a count of 4. Pred provides ""4/192"". The column definition requires both count and percentage. GT only provides the count. Pred provides a count and a denominator, which can be used to calculate the percentage. However, the GT does not provide the total N, so we cannot assess the correct"
NCT00104715_Gravis_GETUG_EU'15,Median On-Treatment Duration (mo) | Control,Wrong,0.0,0.0,0.0,numeric_tolerance,Median number of docetaxel cycles = 8 (median exposure proxy),,"The GT provides a value of 8, even though it's described as ""median number of docetaxel cycles"" and a ""median exposure proxy"". The definition asks for the median duration in months. Since the prediction is empty while the GT has a value, it's an incorrect and incomplete extraction."
NCT00104715_Gravis_GETUG_EU'15,Trial Name,Wrong,0.0,0.0,0.0,exact_match,GETUG-AFU15 – ADT plus docetaxel versus ADT alone in metastatic non-castrate prostate cancer,GETUG-AFU15 Trial,Not an exact match.
NCT00104715_Gravis_GETUG_EU'15,Quality of Life reported,Wrong,0.0,0.0,0.0,exact_match,No,,"Empty value in Pred is equivalent to ""Not reported"", which is different from ""No""."
NCT00104715_Gravis_GETUG_EU'15,Author,Wrong,0.0,0.0,0.0,exact_match,Gravis G. et al.,"Gwenaelle Gravis, Jean-Marie Boher, Florence Joly, Michel Soulié, Laurence Albiges, Franck Priou, Igor Latorzeff, Remy Delva, Ivan Krakowski, Brigitte Laguerre, Frédéric Rolland, Christine Théodore, G",Not an exact match.
NCT00104715_Gravis_GETUG_EU'15,Gleason score - N (%) | ≤ 7 | Control,Partial,0.5,0.5,0.5,numeric_tolerance,78 (41%),78,Column requires both count and percentage (N (%)). Ground truth has both but prediction has only count; scored as wrong/incomplete.
NCT00104715_Gravis_GETUG_EU'15,Gleason score - N (%) | ≥ 8 | Control,Partial,0.5,0.5,0.5,numeric_tolerance,113 (59%),113,Column requires both count and percentage (N (%)). Ground truth has both but prediction has only count; scored as wrong/incomplete.
NCT00104715_Gravis_GETUG_EU'15,Gleason score - N (%) | ≤ 7 | Treatment,Partial,0.5,0.5,0.5,numeric_tolerance,84 (45%),84,Column requires both count and percentage (N (%)). Ground truth has both but prediction has only count; scored as wrong/incomplete.
NCT00104715_Gravis_GETUG_EU'15,Gleason score - N (%) | ≥ 8 | Treatment,Partial,0.5,0.5,0.5,numeric_tolerance,103 (55%),103,Column requires both count and percentage (N (%)). Ground truth has both but prediction has only count; scored as wrong/incomplete.
NCT00104715_Gravis_GETUG_EU'15,Metastases - N (%) | Bone | Treatment,Partial,0.5,0.5,0.5,numeric_tolerance,155 (81%),155,Column requires both count and percentage (N (%)). Ground truth has both but prediction has only count; scored as wrong/incomplete.
NCT00104715_Gravis_GETUG_EU'15,Metastases - N (%) | Bone | Control,Partial,0.5,0.5,0.5,numeric_tolerance,156 (81%),156,Column requires both count and percentage (N (%)). Ground truth has both but prediction has only count; scored as wrong/incomplete.
NCT00104715_Gravis_GETUG_EU'15,Mode of metastases - N (%) | Synchronous | Control,Partial,0.5,0.5,0.5,numeric_tolerance,Metastases at diagnosis: 144 (76%),144,Column requires both count and percentage (N (%)). Ground truth has both but prediction has only count; scored as wrong/incomplete.
NCT00104715_Gravis_GETUG_EU'15,Mode of metastases - N (%) | Metachronous | Treatment,Partial,0.5,0.5,0.5,numeric_tolerance,Metastases after local therapy: 62 (33%),62,Column requires both count and percentage (N (%)). Ground truth has both but prediction has only count; scored as wrong/incomplete.
NCT00104715_Gravis_GETUG_EU'15,Mode of metastases - N (%) | Synchronous | Treatment,Partial,0.5,0.5,0.5,numeric_tolerance,Metastases at diagnosis: 128 (67%),128,Column requires both count and percentage (N (%)). Ground truth has both but prediction has only count; scored as wrong/incomplete.
NCT00104715_Gravis_GETUG_EU'15,Mode of metastases - N (%) | Metachronous | Control,Partial,0.5,0.5,0.5,numeric_tolerance,Metastases after local therapy: 46 (24%),46,Column requires both count and percentage (N (%)). Ground truth has both but prediction has only count; scored as wrong/incomplete.
NCT00104715_Gravis_GETUG_EU'15,OS Rate (%) | High volume | Treatment,Wrong,0.0,0.0,0.0,numeric_tolerance,,11.96,"GT is empty, but Pred has a value."
