Here's the extraction plan for each canonical column:

1.  **OS Rate (%) | Overall | Treatment**
    *   **found_in_pdf**: true
    *   **extraction_plan**: The median overall survival for the Darolutamide + ADT + Docetaxel arm in the overall population was "NE" (Not Estimable), as reported in Figure A1A (Chunk 7, page 16), row "Overall". The Kaplan-Meier curve for the Darolutamide arm in Figure A1A shows that approximately 60-65% of patients survived at 60 months (the latest time point on the graph).
    *   **value**: Median NE; approximately 60-65% at 60 months (estimated from Kaplan-Meier curve).

2.  **OS Rate (%) | Overall | Control**
    *   **found_in_pdf**: true
    *   **extraction_plan**: The median overall survival for the Placebo + ADT + Docetaxel arm in the overall population was 42.4 months (95% CI, 39.7 to 46.0), as reported in Figure A1A (Chunk 7, page 16), row "Overall". The Kaplan-Meier curve for the Placebo arm in Figure A1A shows that approximately 45-50% of patients survived at 60 months (the latest time point on the graph).
    *   **value**: Median 42.4 months (95% CI, 39.7 to 46.0); approximately 45-50% at 60 months (estimated from Kaplan-Meier curve).

3.  **OS Rate (%) | Synchronous | Treatment**
    *   **found_in_pdf**: false
    *   **extraction_plan**: The median OS for patients with de novo mHSPC (synchronous) in the Darolutamide arm was "NE" (Not Estimable), as reported in Figure A1A (Chunk 7, page 16), row "De novo". However, a specific OS rate (percentage) at a defined time point for this subgroup is not explicitly reported in the text or figures, only the median survival.

4.  **OS Rate (%) | Synchronous | Control**
    *   **found_in_pdf**: false
    *   **extraction_plan**: The median OS for patients with de novo mHSPC (synchronous) in the Placebo arm was 42.4 months, as reported in Figure A1A (Chunk 7, page 16), row "De novo". However, a specific OS rate (percentage) at a defined time point for this subgroup is not explicitly reported in the text or figures, only the median survival.

5.  **OS Rate (%) | Metachronous | Treatment**
    *   **found_in_pdf**: false
    *   **extraction_plan**: The median OS for patients with recurrent mHSPC (metachronous) in the Darolutamide arm was "NE" (Not Estimable), as reported in Figure A1A (Chunk 7, page 16), row "Recurrent". However, a specific OS rate (percentage) at a defined time point for this subgroup is not explicitly reported in the text or figures, only the median survival.

6.  **OS Rate (%) | Metachronous | Control**
    *   **found_in_pdf**: false
    *   **extraction_plan**: The median OS for patients with recurrent mHSPC (metachronous) in the Placebo arm was "NE" (Not Estimable), as reported in Figure A1A (Chunk 7, page 16), row "Recurrent". However, a specific OS rate (percentage) at a defined time point for this subgroup is not explicitly reported in the text or figures, only the median survival.

7.  **OS Rate (%) | High volume | Treatment**
    *   **found_in_pdf**: true
    *   **extraction_plan**: The median overall survival for the Darolutamide + ADT + docetaxel arm in the high-volume disease subgroup was "NE" (Not Estimable) (95% CI, 50.3 months to NE), as reported in Figure 2A (Chunk 2, page 6). The Kaplan-Meier curve in Figure 2A shows that approximately 60-65% of patients survived at 60 months (the latest time point on the graph).
    *   **value**: Median NE (95% CI, 50.3 months to NE); approximately 60-65% at 60 months (estimated from Kaplan-Meier curve).

8.  **OS Rate (%) | High volume | Control**
    *   **found_in_pdf**: true
    *   **extraction_plan**: The median overall survival for the Placebo + ADT + docetaxel arm in the high-volume disease subgroup was 42.4 months (95% CI, 39.7 to 46.0), as reported in Figure 2A (Chunk 2, page 6). The Kaplan-Meier curve in Figure 2A shows that approximately 45-50% of patients survived at 60 months (the latest time point on the graph).
    *   **value**: Median 42.4 months (95% CI, 39.7 to 46.0); approximately 45-50% at 60 months (estimated from Kaplan-Meier curve).

9.  **OS Rate (%) | Low volume | Treatment**
    *   **found_in_pdf**: true
    *   **extraction_plan**: The median overall survival for the Darolutamide + ADT + docetaxel arm in the low-volume disease subgroup was "NE" (Not Estimable) (95% CI, NE to NE), as reported in Figure 2B (Chunk 2, page 6). The Kaplan-Meier curve in Figure 2B shows that approximately 85-90% of patients survived at 60 months (the latest time point on the graph).
    *   **value**: Median NE (95% CI, NE to NE); approximately 85-90% at 60 months (estimated from Kaplan-Meier curve).

10. **OS Rate (%) | Low volume | Control**
    *   **found_in_pdf**: true
    *   **extraction_plan**: The median overall survival for the Placebo + ADT + docetaxel arm in the low-volume disease subgroup was "NE" (Not Estimable) (95% CI, NE to NE), as reported in Figure 2B (Chunk 2, page 6). The Kaplan-Meier curve in Figure 2B shows that approximately 75-80% of patients survived at 60 months (the latest time point on the graph).
    *   **value**: Median NE (95% CI, NE to NE); approximately 75-80% at 60 months (estimated from Kaplan-Meier curve).
